id,observed_on,time_observed_at,user_id,description,place_guess,latitude,longitude,field:is this observation part of your 1 hour survey?,field:ruru call type,field:direction to call,field:repeat observation (animal)
193608979,2023-12-10,2023-12-10 09:10:00 UTC,3785171,"","Te Ika-a-Māui/North Island, Wellington, Wellington, NZ",-41.3128334232,174.7918477667,no,Low trill,E,yes
193609071,2023-12-09,2023-12-09 09:10:00 UTC,3785171,"","Te Ika-a-Māui/North Island, Wellington, Wellington, NZ",-41.3128184944,174.7918409582,no,Trill,E,yes
193639074,2023-05-18,2023-05-17 19:20:00 UTC,3785171,"","Te Ika-a-Māui/North Island, Wellington, Wellington, NZ",-41.312720296,174.7918912822,no,Not recorded,Not recorded,yes
194304113,2023-12-18,2023-12-18 09:00:00 UTC,7682958,Regularly hear morepork call from home in evening,"127 Grafton Road, Wellington",-41.295368,174.801504,no,Morepork,Not recorded,yes
194318735,2023-12-18,2023-12-18 08:25:00 UTC,3785171,"","Hataitai Park, Wellington, Wellington, NZ",-41.3099254156,174.7893319004,yes,Morepork,E,yes
194343572,2023-12-19,2023-12-19 08:46:57 UTC,605867,Albemarle Reserve ,"Northland, Wellington 6012, New Zealand",-41.276749894,174.7577506397,yes,Not recorded,Not recorded,yes
194416519,2023-12-20,2023-12-20 08:37:02 UTC,5866007,Observed call 37 minutes into listening hour for Citizen Ruru,"Khandallah, Wellington 6035, New Zealand",-41.2526394,174.8003851,yes,Morepork,N,no
194417147,2023-12-20,2023-12-20 08:47:58 UTC,5866007,Call observed 47 minutes into hour of listening for Citizen Ruru project ,"Khandallah, Wellington 6035, New Zealand",-41.2527696,174.8004346,yes,Morepork,S,maybe
194417545,2023-12-20,2023-12-20 08:58:43 UTC,5866007,Call observed 58 minutes into hour of listening for Citizen Ruru project ,"Khandallah, Wellington 6035, New Zealand",-41.2526442,174.8003782,yes,Morepork,W,maybe
194494713,2023-12-21,2023-12-21 09:53:25 UTC,451919,,"4018841, Mākara, Wellington 6972, New Zealand",-41.29563839,174.68898507,yes,Morepork,W,maybe
194563625,2023-12-22,2023-12-22 08:15:22 UTC,1226581,With accompanying tūī and/or korimako ,"West Taratahi, New Zealand",-40.9209113824,175.4804834464,yes,Not recorded,Not recorded,no
194563678,2023-12-22,2023-12-22 08:17:35 UTC,1226581,"Same one again, with inimitable ""more pork"" call","West Taratahi, New Zealand",-40.9208191405,175.4804228819,yes,Morepork,NE,yes
194570444,2023-12-23,2023-12-22 11:24:38 UTC,7684619,"","Te Ika-a-Māui/North Island, Wellington, Wellington, NZ",-41.3037530367,174.8225360336,yes,Not recorded,Not recorded,yes
194639745,2023-12-23,2023-12-23 08:31:11 UTC,7684918,"","Te Ika-a-Māui/North Island, Wellington, Wellington, NZ",-41.3226720703,174.7792483795,yes,Morepork,SE,no
194876770,2023-12-26,,375282,"Heard a Ruru calling in the distance, maybe up Sutherland Road. Would be too far away to get a sound recording","Wellington, NZ-WG, NZ",-41.328057,174.793602,yes,Morepork,NW,maybe
194877748,2023-12-26,2023-12-26 09:31:57 UTC,451919,,"4018841, Mākara, Wellington 6972, New Zealand",-41.29557457,174.68923292,yes,Morepork,N,maybe
194965561,2023-12-27,2023-12-27 08:31:16 UTC,1226581,"""more pork"" call. Hoping to add to Citizen Rūrū project ","West Taratahi, New Zealand",-40.9208483373,175.4804492856,yes,Morepork,N,maybe
194969841,2023-12-27,2023-12-27 10:28:09 UTC,2859127,"Heard ruru for several minutes
","Te Ika-a-Māui/North Island, Wellington, Wellington, NZ",-41.3328281653,174.7699920056,yes,Morepork,S,yes
195055811,2023-12-28,2023-12-28 08:58:00 UTC,760161,,"Miramar, Wellington 6022, New Zealand",-41.3030147,174.8264841,yes,Morepork,NW,maybe
195351872,2023-12-31,2023-12-31 08:45:42 UTC,760161,,"Wellington, NZ-WG, NZ",-41.30289,174.826545,yes,Morepork,NW,maybe
195356934,2023-12-31,2023-12-31 10:30:34 UTC,451919,,"4018841, Mākara, Wellington 6972, New Zealand",-41.29552293,174.68947778,no,Morepork,N,maybe
195456703,2024-01-02,2024-01-01 11:08:50 UTC,59165,Recorded at night,"Wellington, NZ",-41.335333678,174.9605334828,yes,Morepork,S,no
195555175,2024-01-02,2024-01-02 08:58:41 UTC,1226581,,"West Taratahi, New Zealand",-40.9208234349,175.4803333893,yes,Morepork,W,maybe
195555649,2024-01-02,2024-01-02 09:07:55 UTC,1226581,"Not certain of the call type, think it's the trill. Came out a bit late for the hour's listening tonight ","West Taratahi, New Zealand",-40.9208180254,175.4803657961,no,Trill,NE,maybe
195561009,2024-01-03,2024-01-02 11:09:47 UTC,6542883,,"Karori, Wellington, New Zealand",-41.289968015,174.7233354673,no,Not recorded,W,no
195646494,2024-01-03,2024-01-03 08:40:38 UTC,7706104,"Heard two Ruru’s calling (Morepork call). 

There was a stream nearby so the audio might not be as clear.","Khandallah Park, Wellington, Wellington, NZ",-41.2407873684,174.7866491556,yes,Morepork,Not recorded,yes
195647138,2024-01-03,2024-01-03 08:22:47 UTC,1226581,"Two, from S & SE, more pork calls","Tararua Forest Park, NZ-WG-CR, NZ-WG, NZ",-40.9194049402,175.4802846979,yes,Trill,NE,maybe
195647154,2024-01-03,2024-01-03 08:55:19 UTC,1226581,"At least two, one ""more pork"" one low trill ","West Taratahi, New Zealand",-40.9208734395,175.4804702838,yes,Morepork,NW,maybe
195647170,2024-01-03,2024-01-03 08:59:18 UTC,1226581,,"West Taratahi, New Zealand",-40.9209053,175.4805042,yes,Morepork,Not recorded,maybe
195647459,2024-01-03,2024-01-03 09:02:00 UTC,7706104,Heard one or two Ruru’s (morepork call),"Khandallah Park, Wellington, Wellington, NZ",-41.2417836671,174.7879833263,yes,Morepork,Not recorded,yes
195648818,2024-01-03,2024-01-03 09:46:17 UTC,2710311,,"Wadestown, Wellington 6012, New Zealand",-41.2625483333,174.7739833333,yes,Morepork,Not recorded,yes
195771133,2023-12-31,2023-12-31 09:11:58 UTC,373980,,"South Wairarapa, NZ-WG, NZ",-41.37180987,175.04806192,no,Morepork,N,no
195827672,2024-01-05,2024-01-05 10:46:40 UTC,451919,,"4018841, Mākara, Wellington 6972, New Zealand",-41.29556106,174.68931301,no,Morepork,N,maybe
196007854,2024-01-07,2024-01-07 09:28:54 UTC,3629246,,"Horokiwi, Wellington 5016, New Zealand",-41.1979166667,174.8532383333,no,Not recorded,Not recorded,yes
196107465,2024-01-08,2024-01-08 08:42:27 UTC,605867,Adult morepork call. Too windy for recording.,"Northland, Wellington 6012, New Zealand",-41.2766487664,174.7571879625,yes,Morepork,N,yes
196903282,2024-01-17,2024-01-17 09:18:02 UTC,451919,,"4018841, Mākara, Wellington 6972, New Zealand",-41.29563472,174.68921745,yes,Morepork,Not recorded,no
196978045,2024-01-18,2024-01-18 09:12:26 UTC,451919,,"4018841, Mākara, Wellington 6972, New Zealand",-41.2955238668,174.6893897653,yes,Morepork,E,maybe
197298075,2024-01-22,2024-01-22 09:28:11 UTC,58187,"","Te Ika-a-Māui/North Island, Wellington, Wellington, NZ",-41.1748755303,174.8125066796,yes,Morepork,W,yes
197329059,2024-01-23,2024-01-22 12:30:00 UTC,5966524,Ruru spotted and heard calling multiple times. There is often an adult ruru at this location most nights. ,"Northland, Wellington 6012, New Zealand",-41.2844565356,174.7543592378,no,Not recorded,Not recorded,yes
197447553,2024-01-24,2024-01-24 08:13:38 UTC,1226581,,"Carterton 5791, New Zealand",-40.9207033535,175.4803359781,yes,Ro,N,no
198044130,2024-01-31,2024-01-31 09:59:41 UTC,451919,2 separate birds,"4018841, Mākara, Wellington 6972, New Zealand",-41.29553354,174.68913138,yes,Morepork,Not recorded,no
198634183,2024-02-07,2024-02-07 08:51:39 UTC,451919,,"4018841, Mākara, Wellington 6972, New Zealand",-41.2955174,174.68948972,yes,Morepork,Not recorded,maybe
